filename,startTime,startDateTime,duration,distance,type,mode,splitDistance,restDuration,numLogs
20250516-154119.pb,1747410079,2025-05-16T18:41:19,18,0,,,0,0,11
20250516-154153.pb,1747410113,2025-05-16T18:41:53,3,0,,,0,0,2
20250516-155815.pb,1747411095,2025-05-16T18:58:15,6,0,,,0,0,3
20250530-073626.pb,1748590586,2025-05-30T10:36:26,213,251,,,0,0,157
20250530-075005.pb,1748591405,2025-05-30T10:50:05,24,0,,,0,0,15
20250530-075329.pb,1748591609,2025-05-30T10:53:29,5,0,,,0,0,3
20250530-075510.pb,1748591710,2025-05-30T10:55:10,7,0,,,0,0,4
20250530-080112.pb,1748592072,2025-05-30T11:01:12,7,0,,,0,0,4
20250530-080209.pb,1748592129,2025-05-30T11:02:09,6,0,,,0,0,3
20250530-080216.pb,1748592136,2025-05-30T11:02:16,95,0,,,0,0,49
20250530-080402.pb,1748592242,2025-05-30T11:04:02,0,0,,,0,0,0
20250530-080411.pb,1748592251,2025-05-30T11:04:11,0,0,,,0,0,0
20250530-080422.pb,1748592262,2025-05-30T11:04:22,0,0,,,0,0,0
20250606-133259.pb,1749216779,2025-06-06T16:32:59,1821,4498,FREE,,0,0,1197
20250607-100636.pb,1749290796,2025-06-07T13:06:36,313,963,FREE,,0,0,215
20250607-101224.pb,1749291144,2025-06-07T13:12:24,928,2617,FREE,,0,0,640
20250607-102907.pb,1749292147,2025-06-07T13:29:07,224,1001,,,0,0,155
20250612-133141.pb,1749735101,2025-06-12T16:31:41,35,56,FREE,,0,0,19
20250612-133332.pb,1749735212,2025-06-12T16:33:32,0,0,FREE,,0,0,0
20250612-133430.pb,1749735270,2025-06-12T16:34:30,1604,3394,FREE,,0,0,1016
20250918-153623.pb,1758209783,2025-09-18T18:36:23,365,574,FREE,,0,0,255
20250918-154400.pb,1758210240,2025-09-18T18:44:00,459,1138,FREE,,0,0,353
20250918-155157.pb,1758210717,2025-09-18T18:51:57,557,2000,,,500,0,361
20250918-160502.pb,1758211502,2025-09-18T19:05:02,654,794,FREE,,0,0,406
20250918-161727.pb,1758212247,2025-09-18T19:17:27,18,1,,,500,0,10
20250920-090542.pb,1758359142,2025-09-20T12:05:42,578,1535,FREE,,0,0,468
20250920-091558.pb,1758359758,2025-09-20T12:15:58,1274,1914,FREE,,0,0,837
20250920-093757.pb,1758361077,2025-09-20T12:37:57,266,1000,,,500,0,228
20250920-094249.pb,1758361369,2025-09-20T12:42:49,716,872,FREE,,0,0,476
20250920-095605.pb,1758362165,2025-09-20T12:56:05,108,46,FREE,,0,0,61
20250920-101158.pb,1758363118,2025-09-20T13:11:58,26,1,,,500,0,13
20250920-101259.pb,1758363179,2025-09-20T13:12:59,3,0,FREE,,0,0,2
20250920-102610.pb,1758363970,2025-09-20T13:26:10,15,5,FREE,,0,0,9
20250920-114947.pb,1758368987,2025-09-20T14:49:47,2239,4292,FREE,,0,0,1753
20250920-124430.pb,1758372270,2025-09-20T15:44:30,5,1,,,500,0,3
20250920-124439.pb,1758372279,2025-09-20T15:44:39,2,0,FREE,,0,0,1
20250920-131757.pb,1758374277,2025-09-20T16:17:57,2383,3417,FREE,,0,0,1660
20250921-113532.pb,1758454532,2025-09-21T14:35:32,1052,2501,FREE,,0,0,804
20250921-115939.pb,1758455979,2025-09-21T14:59:39,246,1049,FREE,,0,0,298
20250924-134602.pb,1758721562,2025-09-24T16:46:02,505,1583,FREE,,0,0,465
20250924-135531.pb,1758722131,2025-09-24T16:55:31,288,1000,,,500,0,215
20250925-150915.pb,1758812955,2025-09-25T18:09:15,23,2,,,500,0,14
20250925-150943.pb,1758812983,2025-09-25T18:09:43,7,1,,,500,0,4
20250925-152151.pb,1758813711,2025-09-25T18:21:51,646,1807,FREE,,0,0,548
20250925-153343.pb,1758814423,2025-09-25T18:33:43,565,2000,,,500,0,363
20250925-154716.pb,1758815236,2025-09-25T18:47:16,588,2000,,,500,0,361
20250925-160102.pb,1758816062,2025-09-25T19:01:02,34,2,,,500,0,17
20250925-160141.pb,1758816101,2025-09-25T19:01:41,593,2000,,,500,0,361
20250925-161143.pb,1758816703,2025-09-25T19:11:43,417,819,FREE,,0,0,262
20250928-083001.pb,1759048201,2025-09-28T11:30:01,692,1824,FREE,,0,0,558
20250928-084142.pb,1759048902,2025-09-28T11:41:42,605,2000,,,500,0,368
20250928-085336.pb,1759049616,2025-09-28T11:53:36,5,2,,,500,0,3
20250928-085348.pb,1759049628,2025-09-28T11:53:48,590,2000,,,500,0,346
20250928-091040.pb,1759050640,2025-09-28T12:10:40,5,1,,,500,0,3
20250928-091100.pb,1759050660,2025-09-28T12:11:00,615,2000,,,500,0,370
20250928-092255.pb,1759051375,2025-09-28T12:22:55,4,4,FREE,,0,0,2
20250928-092342.pb,1759051422,2025-09-28T12:23:42,17,31,FREE,,0,0,12
20250928-092611.pb,1759051571,2025-09-28T12:26:11,369,611,FREE,,0,0,242
20251002-152253.pb,1759418573,2025-10-02T18:22:53,581,1745,FREE,,0,0,509
20251002-153554.pb,1759419354,2025-10-02T18:35:54,630,2000,,,500,0,385
20251002-155024.pb,1759420224,2025-10-02T18:50:24,264,1000,,,500,0,183
20251002-155551.pb,1759420551,2025-10-02T18:55:51,327,949,FREE,,0,0,254
20251002-160303.pb,1759420983,2025-10-02T19:03:03,4,1,,,500,0,2
20251002-160312.pb,1759420992,2025-10-02T19:03:12,666,2000,,,500,0,398
20251002-161630.pb,1759421790,2025-10-02T19:16:30,305,675,FREE,,0,0,220
