filename,startTime,delta,distance,strokerate,heartrate,longitude,latitude
20250516-154119.pb,1747410079,0,0.0,0,0,,
20250516-154119.pb,1747410079,2008,0.0,0,0,,
20250516-154119.pb,1747410079,3018,0.0,0,0,,
20250516-154119.pb,1747410079,4698,0.0,34,0,,
20250516-154119.pb,1747410079,6408,0.0,35,0,,
20250516-154119.pb,1747410079,8118,0.0,35,0,,
20250516-154119.pb,1747410079,10118,0.0,35,0,,
20250516-154119.pb,1747410079,12118,0.0,0,0,,
20250516-154119.pb,1747410079,13008,0.0,0,0,,
20250516-154119.pb,1747410079,14488,0.0,24,0,,
20250516-154119.pb,1747410079,16490,0.0,24,0,,
20250516-154153.pb,1747410113,0,0.0,0,0,,
20250516-154153.pb,1747410113,2003,0.0,0,0,,
20250516-155815.pb,1747411095,0,0.0,0,81,,
20250516-155815.pb,1747411095,1618,0.0,0,77,,
20250516-155815.pb,1747411095,3117,0.0,36,73,,
20250530-073626.pb,1748590586,0,0.0,0,91,,
20250530-073626.pb,1748590586,1239,1.1451454,0,90,,
20250530-073626.pb,1748590586,1811,1.794351,104,89,,
20250530-073626.pb,1748590586,2469,3.207662,103,88,,
20250530-073626.pb,1748590586,3609,4.663007,77,88,,
20250530-073626.pb,1748590586,4751,6.0229726,68,88,,
20250530-073626.pb,1748590586,5931,7.428309,64,92,,
20250530-073626.pb,1748590586,7090,9.785054,62,95,,
20250530-073626.pb,1748590586,8199,11.118621,61,102,,
20250530-073626.pb,1748590586,10199,14.155091,61,103,,
20250530-073626.pb,1748590586,12208,17.071966,0,101,,
20250530-073626.pb,1748590586,14208,20.16801,0,91,,
20250530-073626.pb,1748590586,16208,23.17887,0,90,,
20250530-073626.pb,1748590586,18209,26.327652,0,93,,
20250530-073626.pb,1748590586,18598,27.26049,0,93,,
20250530-073626.pb,1748590586,19788,28.673601,50,98,,
20250530-073626.pb,1748590586,21792,31.867964,50,101,,
20250530-073626.pb,1748590586,22970,34.08736,28,101,,
20250530-073626.pb,1748590586,24974,36.80422,27,96,,
20250530-073626.pb,1748590586,25129,36.80422,27,96,,
20250530-073626.pb,1748590586,27132,39.613434,27,96,,
20250530-073626.pb,1748590586,29132,42.533092,0,99,,
20250530-073626.pb,1748590586,31138,45.34086,0,104,,
20250530-073626.pb,1748590586,33139,48.299774,0,104,,
20250530-073626.pb,1748590586,35139,51.09862,0,104,,
20250530-073626.pb,1748590586,37139,54.17462,0,103,,
20250530-073626.pb,1748590586,37580,54.91904,0,103,,
20250530-073626.pb,1748590586,38682,56.364155,56,103,,
20250530-073626.pb,1748590586,40361,58.553024,43,105,,
20250530-073626.pb,1748590586,41130,60.133896,51,106,,
20250530-073626.pb,1748590586,41912,60.79755,56,106,,
20250530-073626.pb,1748590586,42630,62.333775,60,107,,
20250530-073626.pb,1748590586,43301,62.90945,63,108,,
20250530-073626.pb,1748590586,44058,64.51084,65,108,,
20250530-073626.pb,1748590586,44670,65.23041,69,108,,
20250530-073626.pb,1748590586,45091,65.946144,72,108,,
20250530-073626.pb,1748590586,45464,66.648605,76,108,,
20250530-073626.pb,1748590586,46080,67.4189,77,108,,
20250530-073626.pb,1748590586,48080,70.32739,77,108,,
20250530-073626.pb,1748590586,50080,73.27295,0,108,,
20250530-073626.pb,1748590586,52082,75.99049,0,108,,
20250530-073626.pb,1748590586,54082,78.949875,0,108,,
20250530-073626.pb,1748590586,56089,81.76779,0,111,,
20250530-073626.pb,1748590586,58099,84.525696,0,111,,
20250530-073626.pb,1748590586,60050,87.58244,0,111,,
20250530-073626.pb,1748590586,60649,88.24987,105,111,,
20250530-073626.pb,1748590586,61800,89.61518,69,110,,
20250530-073626.pb,1748590586,62360,90.34648,77,109,,
20250530-073626.pb,1748590586,62831,91.01794,88,109,,
20250530-073626.pb,1748590586,63511,92.405525,87,108,,
20250530-073626.pb,1748590586,64111,93.15453,90,108,,
20250530-073626.pb,1748590586,64642,93.864174,92,108,,
20250530-073626.pb,1748590586,65238,94.53427,97,109,,
20250530-073626.pb,1748590586,66359,96.04493,88,111,,
20250530-073626.pb,1748590586,66902,96.88797,88,112,,
20250530-073626.pb,1748590586,67522,98.16128,89,112,,
20250530-073626.pb,1748590586,68672,99.36606,84,112,,
20250530-073626.pb,1748590586,69208,100.047134,85,113,,
20250530-073626.pb,1748590586,69810,100.49474,86,114,,
20250530-073626.pb,1748590586,70368,101.16935,86,113,,
20250530-073626.pb,1748590586,70993,102.48142,92,113,,
20250530-073626.pb,1748590586,72110,104.455345,93,112,,
20250530-073626.pb,1748590586,73202,106.0907,81,111,,
20250530-073626.pb,1748590586,73780,106.75527,80,111,,
20250530-073626.pb,1748590586,74398,107.36657,80,110,,
20250530-073626.pb,1748590586,74981,109.05978,79,111,,
20250530-073626.pb,1748590586,76108,110.494125,85,112,,
20250530-073626.pb,1748590586,77800,112.418396,72,111,,
20250530-073626.pb,1748590586,78983,114.53531,68,112,,
20250530-073626.pb,1748590586,80101,116.10147,62,111,,
20250530-073626.pb,1748590586,82108,119.10908,62,112,,
20250530-073626.pb,1748590586,83542,121.52579,43,112,,
20250530-073626.pb,1748590586,84649,122.9629,37,114,,
20250530-073626.pb,1748590586,85791,124.366196,38,114,,
20250530-073626.pb,1748590586,86369,125.20092,42,114,,
20250530-073626.pb,1748590586,86989,126.75979,47,114,,
20250530-073626.pb,1748590586,88129,128.29218,50,114,,
20250530-073626.pb,1748590586,89211,129.78276,46,114,,
20250530-073626.pb,1748590586,90380,131.23166,61,112,,
20250530-073626.pb,1748590586,90982,132.85683,65,112,,
20250530-073626.pb,1748590586,91572,133.59653,67,112,,
20250530-073626.pb,1748590586,92652,135.10797,65,111,,
20250530-073626.pb,1748590586,93100,135.90083,68,111,,
20250530-073626.pb,1748590586,95102,138.76952,68,111,,
20250530-073626.pb,1748590586,97102,141.73083,0,111,,
20250530-073626.pb,1748590586,97711,142.41586,42,111,,
20250530-073626.pb,1748590586,98309,143.10042,46,112,,
20250530-073626.pb,1748590586,98688,143.82497,50,112,,
20250530-073626.pb,1748590586,100690,146.66072,50,112,,
20250530-073626.pb,1748590586,102692,149.47153,0,111,,
20250530-073626.pb,1748590586,104000,151.50067,29,109,,
20250530-073626.pb,1748590586,106000,154.07451,33,110,,
20250530-073626.pb,1748590586,106752,154.68266,33,110,,
20250530-073626.pb,1748590586,107309,155.30708,31,109,,
20250530-073626.pb,1748590586,108452,157.0922,30,108,,
20250530-073626.pb,1748590586,109009,157.67375,48,108,,
20250530-073626.pb,1748590586,110628,159.53291,54,108,,
20250530-073626.pb,1748590586,112631,162.01057,50,106,,
20250530-073626.pb,1748590586,112831,162.01057,50,106,,
20250530-073626.pb,1748590586,113380,162.72823,44,105,,
20250530-073626.pb,1748590586,114028,164.19289,47,106,,
20250530-073626.pb,1748590586,116029,166.95413,50,106,,
20250530-073626.pb,1748590586,116259,166.95413,50,106,,
20250530-073626.pb,1748590586,117982,169.71234,50,109,,
20250530-073626.pb,1748590586,119983,172.49925,44,109,,
20250530-073626.pb,1748590586,121289,173.99046,0,108,,
20250530-073626.pb,1748590586,121974,175.41393,35,106,,
20250530-073626.pb,1748590586,123138,176.7224,39,102,,
20250530-073626.pb,1748590586,125139,179.44133,32,98,,
20250530-073626.pb,1748590586,126480,181.56883,32,98,,
20250530-073626.pb,1748590586,128148,183.61041,28,98,,
20250530-073626.pb,1748590586,128719,184.22305,35,100,,
20250530-073626.pb,1748590586,130729,187.0598,35,102,,
20250530-073626.pb,1748590586,132118,189.2689,25,102,,
20250530-073626.pb,1748590586,134118,192.05698,25,101,,
20250530-073626.pb,1748590586,136124,194.71788,0,100,,
20250530-073626.pb,1748590586,138129,197.22128,0,101,,
20250530-073626.pb,1748590586,140129,199.2339,0,104,,
20250530-073626.pb,1748590586,142129,201.21382,0,104,,
20250530-073626.pb,1748590586,144129,202.79431,0,101,,
20250530-073626.pb,1748590586,146139,203.92955,0,101,,
20250530-073626.pb,1748590586,148148,204.78462,0,99,,
20250530-073626.pb,1748590586,150148,205.5483,0,99,,
20250530-073626.pb,1748590586,152149,206.13417,0,102,,
20250530-073626.pb,1748590586,154159,206.83476,0,102,,
20250530-073626.pb,1748590586,156169,207.8953,0,101,,
20250530-073626.pb,1748590586,158169,208.99655,0,101,,
20250530-073626.pb,1748590586,160169,210.07988,0,101,,
20250530-073626.pb,1748590586,162178,211.36337,0,100,,
20250530-073626.pb,1748590586,164178,212.51324,0,99,,
20250530-073626.pb,1748590586,166179,213.79913,0,99,,
20250530-073626.pb,1748590586,168179,215.15654,0,99,,
20250530-073626.pb,1748590586,170179,216.82814,0,99,,
20250530-073626.pb,1748590586,172189,218.21188,0,102,,
20250530-073626.pb,1748590586,174189,219.6356,0,102,,
20250530-073626.pb,1748590586,176199,221.09267,0,100,,
20250530-073626.pb,1748590586,177879,222.2055,0,98,,
20250530-073626.pb,1748590586,179550,223.58745,35,98,,
20250530-073626.pb,1748590586,180890,224.54257,38,101,,
20250530-073626.pb,1748590586,182031,225.23131,35,102,,
20250530-073626.pb,1748590586,184040,226.36806,35,102,,
20250530-073626.pb,1748590586,186042,227.895,0,102,,
20250530-073626.pb,1748590586,188042,229.16568,0,102,,
20250530-073626.pb,1748590586,190048,230.38528,0,104,,
20250530-073626.pb,1748590586,192049,231.98828,0,106,,
20250530-073626.pb,1748590586,194051,233.93832,0,107,,
20250530-073626.pb,1748590586,196060,235.35329,0,104,,
20250530-073626.pb,1748590586,198062,236.88118,0,102,,
20250530-073626.pb,1748590586,198460,237.26433,0,102,,
20250530-073626.pb,1748590586,200139,238.42946,26,103,,
20250530-073626.pb,1748590586,202142,240.25276,26,106,,
20250530-073626.pb,1748590586,204148,242.07431,0,106,,
20250530-073626.pb,1748590586,206150,243.69177,0,103,,
20250530-073626.pb,1748590586,208152,244.94624,0,102,,
20250530-073626.pb,1748590586,210159,246.91196,0,102,,
20250530-073626.pb,1748590586,212160,249.17554,0,105,,
20250530-073626.pb,1748590586,212973,250.27574,0,105,,
20250530-075005.pb,1748591405,0,0.0,0,0,,
20250530-075005.pb,1748591405,1649,0.0,0,0,,
20250530-075005.pb,1748591405,3129,0.0,35,0,,
20250530-075005.pb,1748591405,4749,0.0,37,0,,
20250530-075005.pb,1748591405,6750,0.0,38,0,,
20250530-075005.pb,1748591405,8119,0.0,0,0,,
20250530-075005.pb,1748591405,9209,0.0,30,0,,
20250530-075005.pb,1748591405,10529,0.0,33,0,,
20250530-075005.pb,1748591405,12530,0.0,34,0,,
20250530-075005.pb,1748591405,13030,0.0,34,0,,
20250530-075005.pb,1748591405,15039,0.0,0,0,,
20250530-075005.pb,1748591405,17039,0.0,0,0,,
20250530-075005.pb,1748591405,19039,0.0,0,0,,
20250530-075005.pb,1748591405,21039,0.0,0,0,,
20250530-075005.pb,1748591405,23039,0.0,0,0,,
20250530-075329.pb,1748591609,0,0.0,0,0,,
20250530-075329.pb,1748591609,1854,0.0,0,0,,
20250530-075329.pb,1748591609,2904,0.0,32,0,,
20250530-075510.pb,1748591710,0,0.0,0,0,,
20250530-075510.pb,1748591710,2007,0.0,0,0,,
20250530-075510.pb,1748591710,4007,0.0,0,0,,
20250530-075510.pb,1748591710,6008,0.0,0,0,,
20250530-080112.pb,1748592072,0,0.0,0,0,,
20250530-080112.pb,1748592072,2010,0.0,0,0,,
20250530-080112.pb,1748592072,4011,0.0,0,0,,
20250530-080112.pb,1748592072,6011,0.0,0,0,,
20250530-080209.pb,1748592129,0,0.0,0,0,,
20250530-080209.pb,1748592129,1931,0.0,0,0,,
20250530-080209.pb,1748592129,3931,0.0,32,0,,
20250530-080216.pb,1748592136,0,0.0,0,0,,
20250530-080216.pb,1748592136,2009,0.0,0,0,,
20250530-080216.pb,1748592136,4009,0.0,0,0,,
20250530-080216.pb,1748592136,6009,0.0,0,0,,
20250530-080216.pb,1748592136,8009,0.0,0,0,,
20250530-080216.pb,1748592136,10009,0.0,0,0,,
20250530-080216.pb,1748592136,12009,0.0,0,0,,
20250530-080216.pb,1748592136,14009,0.0,0,0,,
20250530-080216.pb,1748592136,16009,0.0,0,0,,
20250530-080216.pb,1748592136,18009,0.0,0,0,,
